region,country
Asia-Pacific,Afghanistan
Asia-Pacific,Bangladesh
Asia-Pacific,Cambodia
Asia-Pacific,China
Asia-Pacific,India
Asia-Pacific,Indonesia
Asia-Pacific,Japan
Asia-Pacific,Laos
Asia-Pacific,Malaysia
Asia-Pacific,Mongolia
Asia-Pacific,Myanmar (Burma)
Asia-Pacific,Nepal
Asia-Pacific,Pakistan
Asia-Pacific,Philippines
Asia-Pacific,South Korea
Asia-Pacific,Sri Lanka
Asia-Pacific,Thailand
Asia-Pacific,Tibet
Asia-Pacific,Timor-Leste
Asia-Pacific,Vietnam
Australia and New Zealand,NONE
Baltics,Estonia
Baltics,Latvia
Baltics,Lithuania
Caribbean,Haiti
Central America,El Salvador
Central America,Guatemala
Central America,Honduras
Central America,Mexico
Central America,Nicaragua
Central Asia,Kazakhstan
Central Asia,Kyrgyzstan
Central Asia,Tajikistan
Central Asia,Uzbekistan
Eastern Africa,Burundi
Eastern Africa,Djibouti
Eastern Africa,Eritrea
Eastern Africa,Ethiopia
Eastern Africa,Kenya
Eastern Africa,Rwanda
Eastern Africa,Somalia
Eastern Africa,Sudan
Eastern Africa,Tanzania
Eastern Africa,Uganda
Eastern Asia,China
Eastern Asia,Japan
Eastern Asia,Mongolia
Eastern Asia,South Korea
Eastern Asia,Tibet
Eastern Europe,Belarus
Eastern Europe,Bulgaria
Eastern Europe,Czechia
Eastern Europe,Hungary
Eastern Europe,Moldova
Eastern Europe,Poland
Eastern Europe,Romania
Eastern Europe,Russia
Eastern Europe,Slovakia
Eastern Europe,Ukraine
Latin America,Argentina
Latin America,Bolivia
Latin America,Brazil
Latin America,Chile
Latin America,Colombia
Latin America,Ecuador
Latin America,El Salvador
Latin America,Guatemala
Latin America,Haiti
Latin America,Honduras
Latin America,Mexico
Latin America,Nicaragua
Latin America,Paraguay
Latin America,Peru
Latin America,Uruguay
Latin America,Venezuela
Melanesia,NONE
Micronesia,NONE
Middle Africa,Angola
Middle Africa,Democratic Republic of the Congo
Northern Africa,Algeria
Northern Africa,Egypt
Northern Africa,Libya
Northern Africa,Morocco
Northern Africa,Sudan
Northern Africa,Tunisia
Northern America,Canada
Northern America,United States
Northern Europe,Denmark
Northern Europe,Estonia
Northern Europe,Finland
Northern Europe,Ireland
Northern Europe,Latvia
Northern Europe,Lithuania
Northern Europe,Norway
Northern Europe,Sweden
Northern Europe,United Kingdom
Pacific Islands,Fiji
Pacific Islands,Papua New Guinea
Pacific Islands,Vanuatu
Polynesia,NONE
South America,Argentina
South America,Bolivia
South America,Brazil
South America,Chile
South America,Colombia
South America,Ecuador
South America,Paraguay
South America,Peru
South America,Uruguay
South America,Venezuela
Southeastern Asia,Cambodia
Southeastern Asia,Indonesia
Southeastern Asia,Laos
Southeastern Asia,Malaysia
Southeastern Asia,Myanmar (Burma)
Southeastern Asia,Philippines
Southeastern Asia,Thailand
Southeastern Asia,Timor-Leste
Southeastern Asia,Vietnam
Southern Africa,Angola
Southern Africa,Botswana
Southern Africa,Democratic Republic of the Congo
